Country,Output-Response-Total cases rate after,Output-Response-Total deaths rate after,Output-CLI percent impact,Output-PMI-ind percent impact,Output-PMI-serv percent impact,Output-PMI-comp percent impact,Average Temperature April,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by non-communicable diseases (% of total)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),Day10thDeath,GDP per capita (current US$),"International tourism, number of arrivals","Life expectancy at birth, total (years)",Population,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),Population density (people per sq. km of land area),Population in urban agglomerations of more than 1 million (% of total population),Population living in slums (% of urban population),Prevalence of undernourishment (% of population),Urban population (% of total population),Input-Response-Stringency Index,Input-Response-automotive pollution percent,Input-Response-mobility retail and recreation percent,Input-Response-mobility grocery and pharmacy percent,Input-Response-mobility parks percent,Input-Response-mobility transit stations percent,Input-Response-mobility workplaces percent,Input-Response-mobility residential percent,Continent
Spain,1.282791945706822,1.4017167513180357,6.550586831112,,,,12.9,5.1,91.4,8.97,2389.89,70.0,30370.89,82773000.0,83.33,46796540.0,14.67,65.95,19.38,93.53,25.66,,2.5,80.32,33.755714285714284,15.422362141484573,7.121428571428572,-12.564285714285715,-8.407142857142857,5.222639933166249,1.6285714285714288,-0.9275689223057644,Europe
Sri Lanka,1.0377891903391028,1.0188687080608183,,,,,28.37,7.5,82.8,3.89,153.1,,4102.48,2334000.0,76.65,21670000.0,24.2,65.33,10.47,345.56,,24.8,9.0,18.48,99.0942857142857,,80.0,74.14285714285714,45.857142857142854,70.57142857142857,65.85714285714286,-39.0,Asia  
Sudan,1.1570402328978964,1.106679233267917,,,,,30.22,35.2,52.2,5.66,152.02,110.0,977.27,836000.0,64.88,41801533.0,40.51,55.91,3.58,,13.24,91.6,20.1,34.64,83.95714285714287,,,,,,,,Africa
Sweden,1.092007895892705,1.227934098203503,2.7633834861635336,,,,2.99,5.2,89.9,10.93,5710.59,79.0,54608.36,7440000.0,82.31,10175214.0,17.58,62.32,20.1,25.0,15.54,,2.5,87.43,29.188571428571432,17.4522737629314,21.474025974025977,4.383116883116883,-25.891029873487856,29.03865182436611,19.344155844155843,-7.929396000824573,Europe
Switzerland,1.1567414532032578,1.231012443943913,5.043959398154229,,,,8.21,4.3,89.6,12.25,9835.96,75.0,82796.55,10362000.0,83.6,8513227.0,14.91,66.47,18.62,215.52,16.1,,2.5,73.8,65.48857142857143,22.116811686988928,42.076402116402114,-5.8952380952380965,-15.786639131176946,35.98901098901099,26.830748880748878,-14.626065162907267,Europe
Tanzania,1.0679510029120203,1.073756224652268,,,,,22.97,55.8,32.9,4.14,35.5,114.0,1050.68,1378000.0,64.48,56318348.0,44.1,53.3,2.6,63.58,12.52,50.7,30.7,33.78,53.57,,30.428571428571427,15.142857142857142,18.285714285714285,24.142857142857142,20.0,-11.142857142857142,Africa
Thailand,1.0466026593786724,1.122462048309373,,,,,28.93,15.8,74.0,3.71,221.92,91.0,7273.56,38178000.0,76.68,69428524.0,17.09,71.01,11.9,135.9,20.06,25.0,7.8,49.95,76.59000000000002,54.74052116975622,46.57142857142857,19.714285714285715,46.0,55.714285714285715,25.142857142857142,-16.142857142857142,Asia  
Togo,,,,,,,29.54,51.7,37.6,6.62,38.77,130.0,679.26,573000.0,60.49,7889094.0,41.33,55.8,2.87,145.05,22.13,51.2,16.1,41.7,,,33.42857142857143,22.714285714285715,16.857142857142858,38.0,16.285714285714285,-17.857142857142858,Africa
Trinidad and Tobago,1.0138484625810193,1.026455199651044,,,,,27.18,9.0,80.7,6.51,1063.83,,17129.91,375000.0,73.25,1389858.0,20.42,68.85,10.73,270.93,,24.7,5.5,53.18,82.27,,62.714285714285715,31.0,59.42857142857143,75.42857142857143,59.42857142857143,-25.714285714285715,Americas
Tunisia,1.0794498503689594,1.1004390707937086,,,,,19.85,7.8,85.8,6.95,256.5,93.0,3447.51,8299000.0,76.31,11565204.0,24.17,67.51,8.32,74.44,19.81,8.0,4.3,68.94,90.61,,,,,,,,Africa
