pais,valor_semana,dia_semana,voos_soma
Bangladesh,9,2,39.0
Bangladesh,9,3,48.0
Bangladesh,9,4,64.0
Bangladesh,9,5,63.0
Bangladesh,9,6,68.0
Bangladesh,10,0,51.0
Bangladesh,10,1,40.0
Bangladesh,10,2,52.0
Bangladesh,10,3,46.0
Bangladesh,10,4,51.0
Bangladesh,10,5,37.0
Bangladesh,10,6,50.0
Bangladesh,11,0,48.0
Bangladesh,11,1,59.0
Bangladesh,11,2,65.0
Bangladesh,11,3,52.0
Bangladesh,11,4,65.0
Bangladesh,11,5,39.0
Bangladesh,11,6,33.0
Bangladesh,12,0,49.0
Bangladesh,12,1,39.0
Bangladesh,12,2,42.0
Bangladesh,12,3,42.0
Bangladesh,12,4,31.0
Bangladesh,12,5,18.0
Bangladesh,12,6,4.0
Bangladesh,13,0,7.0
Bangladesh,13,1,15.0
Bangladesh,13,2,11.0
Bangladesh,13,3,4.0
Bangladesh,13,4,1.0
Bangladesh,13,5,2.0
Bangladesh,13,6,2.0
Bangladesh,14,0,3.0
Bangladesh,14,1,7.0
Bangladesh,14,2,15.0
Bangladesh,14,3,7.0
Bangladesh,14,4,3.0
Bangladesh,14,5,2.0
Bangladesh,14,6,24.0
Bangladesh,15,0,16.0
Bangladesh,15,3,4.0
Bangladesh,15,4,2.0
Bangladesh,16,0,2.0
Bangladesh,16,1,1.0
Bangladesh,16,3,4.0
Bangladesh,16,6,4.0
Bangladesh,17,0,13.0
Bangladesh,17,1,12.0
Bangladesh,17,2,10.0
Bangladesh,17,3,6.0
Bangladesh,17,4,5.0
Bangladesh,17,5,5.0
Bangladesh,17,6,6.0
Bangladesh,18,0,4.0
Bangladesh,18,1,4.0
Bangladesh,18,2,3.0
Bangladesh,18,3,7.0
Bangladesh,18,4,4.0
Bangladesh,18,5,4.0
Bangladesh,18,6,7.0
Bangladesh,19,0,6.0
Bangladesh,19,1,14.0
Bangladesh,19,2,5.0
Bangladesh,19,3,8.0
Bangladesh,19,4,8.0
Bangladesh,19,5,6.0
Bangladesh,19,6,13.0
Bangladesh,20,0,18.0
Bangladesh,20,1,14.0
Bangladesh,20,2,12.0
Bangladesh,20,3,19.0
Bangladesh,20,4,3.0
Bangladesh,20,5,7.0
Bangladesh,20,6,14.0
Bangladesh,21,0,13.0
Bangladesh,21,1,7.0
Bangladesh,21,2,2.0
Bangladesh,21,3,12.0
Bangladesh,21,4,15.0
Bangladesh,21,5,8.0
Bangladesh,21,6,4.0
Bangladesh,22,0,2.0
Bangladesh,22,1,6.0
Bangladesh,22,2,5.0
Bangladesh,22,3,16.0
Barbados,1,2,67.0
Barbados,1,3,59.0
Barbados,1,4,61.0
Barbados,1,5,79.0
Barbados,1,6,57.0
Barbados,2,0,64.0
Barbados,2,1,55.0
Barbados,2,2,37.0
Barbados,2,3,50.0
Barbados,2,4,21.0
Barbados,3,4,39.0
Barbados,3,5,48.0
Barbados,3,6,41.0
Barbados,4,0,55.0
Barbados,4,1,47.0
Barbados,4,2,69.0
Barbados,4,3,82.0
Barbados,4,4,94.0
Barbados,4,5,83.0
Barbados,4,6,68.0
Barbados,5,0,72.0
Barbados,5,1,73.0
Barbados,5,2,74.0
Barbados,5,3,77.0
Barbados,5,4,88.0
Barbados,5,5,86.0
Barbados,5,6,84.0
Barbados,6,0,78.0
Barbados,6,1,77.0
